grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,samples,step
81.96163173341886,16.557571411132812,41.69616589979691,7.297054792061829,9.290653731141774,12.776155215590746,256,0
87.90035836564338,19.32774477005005,45.728728237572895,7.273933380208117,9.266331956050273,12.683485412298714,2816,10
77.16362120091416,15.690603256225586,35.53040495264463,7.206586945214932,9.061134683357588,12.37989216786954,5376,20
72.68672592115689,13.580232906341552,26.717175442172653,7.065514488637872,8.955797014236454,12.194490488066926,7936,30
67.16183711155965,12.267745113372804,21.14873283728958,7.018982978094194,8.766914423958218,12.068381413704376,10496,40
76.96230047305649,14.20810022354126,30.291247495638736,6.857076859328804,8.676364146952865,11.845347732794087,13056,50
69.30839015687518,12.476689720153807,23.109839988431723,6.788186229705811,8.44819208846955,11.7256628809173,15616,60
79.13723412913359,14.1964919090271,31.331912322160694,6.6575602285918745,8.449865618035663,11.357331647481807,18176,70
76.4192807450632,13.562068080902101,28.18069923681804,6.529886215241237,8.220178734927444,11.193847518462631,20736,80
89.79468036292697,15.592549419403076,35.69221601815055,6.382167213641032,7.989892519793454,11.058903223193475,23296,90
87.37129106878331,16.822459697723392,42.520912656948205,6.237139044309913,7.889298370475829,10.8395014612862,25856,100
73.45247652261708,13.246524810791016,27.914113570391596,6.108948615745259,7.7447552642576625,10.447386285006004,28416,110
76.05624722400138,12.732720184326173,28.368954394304065,6.024706997219023,7.519220483206149,10.472730435348875,30976,120
84.82882290973382,14.081903266906739,30.39765492897458,5.868618705193321,7.355327524232474,10.085329189112315,33536,130
92.28791012361307,14.155382823944095,34.71955028239301,5.716454717767154,7.249662989025168,10.010331858823335,36096,140
67.21393308560735,10.700080490112306,19.93423639004709,5.643045986677014,7.156738597405689,9.687694336196136,38656,150
78.40760280938049,12.41248893737793,26.892703357875426,5.533887695916128,6.9330642082664475,9.5001369405408,41216,160
74.30067720666484,11.65177707672119,25.545779913190827,5.403009745405939,6.824540191466272,9.2727713280536,43776,170
70.88823528021246,10.851035404205323,23.09942511495998,5.267061136894336,6.659079614633356,9.07487459773382,46336,180
72.96045129642583,11.831089687347411,27.22396687510747,5.202742636897991,6.513785847897518,8.985997979483834,48896,190
71.5631983393968,11.44267873764038,26.292663282904716,5.057084661219958,6.4022300693845935,8.736277292157233,51456,200
73.1536523003758,11.80725517272949,27.979393376913027,4.923776500968536,6.201209643878127,8.45279146372394,54016,210
62.817472060541284,9.194341278076173,17.487411587535842,4.813355745697012,6.125976187896124,8.340324987582319,56576,220
71.20053952376784,11.009231281280517,24.09935791116383,4.7155741265375255,6.01202832261094,8.09454089278606,59136,230
70.33107228413608,10.785643243789671,25.21054758559269,4.585795400453658,5.819437930884875,7.8756463165036275,61696,240
68.46365020482791,9.67271056175232,20.650063530331266,4.491656430485547,5.6864563541934094,7.803813980519766,64256,250
81.89817020799964,13.151407623291018,35.51452386723107,4.3845675425451285,5.611716942489143,7.639149100717931,66816,260
